plant,scenario,energy_mwh,annual_cost_eur,carbon_kg,peak_kw,flex_shifted_mwh,baseline_annual_cost_eur,baseline_carbon_kg,baseline_peak_kw,cost_savings_eur,cost_savings_pct,carbon_reduction_pct,peak_reduction_pct
Network,Baseline,5708.782078,7907665.073601,1885579.565071,15734.697,0.0,7907665.073601,1885579.565071,15734.697,0.0,0.0,0.0,0.0
Network,Cost First,5708.782078,7788642.219977,1864932.975792,15451.577786,189.751747,7907665.073601,1885579.565071,15734.697,119022.853624,0.015052,0.01095,0.017993
Network,Carbon First,5708.782078,7787474.814652,1859652.112187,15451.577786,175.050416,7907665.073601,1885579.565071,15734.697,120190.258949,0.015199,0.01375,0.017993
Network,Balanced,5708.782078,7783046.817181,1864816.581745,15376.600565,187.80854,7907665.073601,1885579.565071,15734.697,124618.25642,0.015759,0.011011,0.022758
